,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUT,32.0611702803185,37.2792873916335,54.9843335420299,62.6085824324512,71.3155276027323,78.700297688528,86.1909426142635,87.8345234628516,94.1706284673396,90.214186531973,86.5350358440676,90.7712898564177,94.1542430754441,99.3774018458038
BEL,99.2466168470633,19.7190728610721,49.7285459536897,53.6848670149954,55.6462505480868,52.5150527304844,50.2852372364101,50.7732953472882,48.5572064875823,52.489124643344,56.2349706443335,64.2177711203836,62.4683878292049,60.2095938847971
FRA,46.3458968649914,58.1131966063336,58.32934781428,53.7712854486525,69.9189698636533,62.7572997440563,64.3238713628136,64.7096558002973,71.2487544795308,83.2283580772217,87.5776141788621,91.1567004424798,94.071244157395,99.8272319068679
DEU,85.3011052596839,86.3729326696527,99.9568400590397,95.105613071489,85.0499899114937,68.2499012933189,58.3865028257448,54.3500464094796,56.6059779247631,57.5478789176271,58.5815235136922,57.5641306416227,59.500532293186,29.246462702729
GRC,1.05364223886185,1.53660048386716,0.527987685240114,1.16749906183894,1.15070051418659,1.31320313140697,1.85495629319555,3.59290603572918,4.72260836535032,5.85102747258134,6.69935412902547,5.33353887962395,4.48392900078972,8.5091643254053
ITA,4.0810353900497,5.02421061880436,5.89704338177247,7.52723002637578,9.70726027854395,12.6387825401984,16.2731432725035,23.7136175910759,28.0097836889895,35.2433339207064,35.9491033274314,42.6515679424599,46.6481923735658,53.9151552765313
MLT,1.80541328238077,1.87656257429725,2.97048293751318,8.54680869146757,15.1103308707632,18.5699651902022,23.2569247952005,34.3384270111928,49.4665452049351,69.2193673732488,66.0887985289235,74.7867994657137,80.1763583283873,95.6068610127746
ESP,72.6859470865536,70.7928671824676,70.5224271961696,61.3690738137759,59.2887662268683,56.0850925430305,55.0761433633803,53.7447465077594,48.752008299181,75.7023930875697,68.2652934643748,72.1242640380885,76.3056822877729,94.8620259629892
TUR,1.29264515963455,1.15783772338742,0.888072228059348,0.900423300430594,1.05104613422628,1.09834170403812,1.3816632544078,1.90010704833254,3.20239206933002,2.92328795830662,2.72446581769632,5.39003810737852,42.5057636971418,99.9255979053969
